episod,total_reward
1,14.0488701296
2,13.5091753823
3,19.5179870736
4,25.0384744662
5,20.2971155394
6,31.3283566067
7,-56.7783044431
8,-212.760238296
9,-212.771302827
10,-212.762290294
11,-212.77345531
12,22.3833347521
13,22.5323153873
14,23.2683682108
15,150.476303084
16,23.5261227995
17,21.4127776776
18,117.732571668
19,66.5131460359
20,-9.00673403427
21,53.791674025
22,87.6502357335
23,62.9729767478
24,71.3314782739
25,-16.2736453079
26,9.34728640431
27,85.08220554
28,81.6767593172
29,-9.8494408772
30,-10.7356646518
31,72.7478958477
32,23.5876977035
33,89.449759006
34,83.7136420168
35,51.2622086547
36,37.6121978407
37,188.538249494
38,18.5787371306
39,109.041085231
40,217.454054735
41,30.617364753
42,11.9174452618
43,39.3802454309
44,7.15675960918
45,-17.2584049054
46,-11.2109062123
47,-2.76004338525
48,-20.7600704072
49,134.047294
50,17.231310188
51,146.52892519
52,-16.684200241
53,32.1575525171
54,31.9957542928
55,99.1383059167
56,-2.82563326001
57,4.81568236729
58,113.357656098
59,13.2888910967
60,-0.643153597773
61,53.8417895339
62,76.9132921643
63,36.048303386
64,6.32896004667
65,49.9229221835
66,25.7002265019
67,84.7838113634
68,-8.08095857286
69,-19.8494886395
70,-23.9877951013
71,52.6175819112
72,157.986595886
73,83.4185617017
74,90.8510110915
75,83.5431727809
76,17.5831356261
77,59.2421930939
78,6.09924205223
79,-18.8370664212
80,-15.3804814881
81,29.0292719911
82,53.17638611
83,61.1436161461
84,-10.282494216
85,-0.954903935862
86,78.0435415021
87,-0.705531037324
88,117.295893529
89,105.880295362
90,-1.44409817234
91,129.328175255
92,101.271689612
93,-16.7312184203
94,76.3778058688
95,177.630783125
96,148.991035351
97,36.9655297398
98,-20.6620176702
99,55.7670734557
100,102.396903809
101,91.7016227634
102,85.8751305188
103,65.1965042307
104,19.793397786
105,37.9542033114
106,36.3106434298
107,90.0353852742
108,24.3502216995
109,90.6258566067
110,-21.4508345647
111,48.0250347751
112,18.698471643
113,61.4343615135
114,50.5238795673
115,76.162846612
116,29.6979963536
117,-0.557973658995
118,-26.4163156412
119,43.7741399488
120,35.9834786377
121,18.2157130424
122,20.817746874
123,18.0021962309
124,52.9093344049
125,12.6525646778
126,158.32897846
127,86.2993772985
128,-7.87851804366
129,-15.0563714312
130,9.64512788871
131,-19.8204509535
132,130.725348173
133,90.542053594
134,26.7149143008
135,37.5797355975
136,49.0705829289
137,-23.2228538147
138,4.6401539456
139,-22.5672347088
140,80.2936869705
141,-3.90538118753
142,18.7385802305
143,39.8159391468
144,65.1794501421
145,131.501649192
146,8.17850751164
147,10.2717901992
148,123.219738944
149,-21.7661414457
150,64.4872362887
151,29.1096122614
152,-18.9929098346
153,-12.5701487782
154,12.3786613515
155,-1.01036527411
156,142.811798248
157,182.290100663
158,5.55112173793
159,64.089236445
160,-16.3196481958
161,-25.4517130825
162,-22.766178819
163,100.257534819
164,56.6241878604
165,144.251988935
166,173.146979107
167,64.8306675876
168,50.2591729463
169,-2.52883696156
170,75.5500131888
171,-9.65097311692
172,26.3660957522
173,136.724401172
174,197.599177298
175,150.359668528
176,15.278114307
177,127.600677123
178,-10.1050450034
179,145.516048372
180,-18.0010086894
181,1.40480825827
182,-26.0812486141
183,36.5143520651
184,-1.0875656996
185,30.6346285971
186,110.955303854
187,-20.2935672078
188,22.6717928328
189,-17.4877443746
190,41.8769220929
191,98.461415928
192,88.1262865626
193,104.065425628
194,107.18434478
195,27.8052084703
196,144.799982714
197,74.8743947506
198,157.312894235
199,114.260131632
200,-14.7583278059
